epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,738.316,0.82743,0.84927,1.12979,0.78165,0.76374,0.81397,0.60374,1.1344,1.18615,1.30961,0.003565,0.003565,0.003565
67,758.971,0.81566,0.8331,1.12549,0.79228,0.76374,0.81117,0.61203,1.15067,1.21445,1.40606,0.003466,0.003466,0.003466
68,777.928,0.80356,0.8239,1.10988,0.85648,0.77473,0.83367,0.63671,1.0571,1.19628,1.29696,0.003367,0.003367,0.003367
69,788.654,0.80394,0.8228,1.11737,0.7837,0.81319,0.83427,0.60843,1.20486,1.1456,1.33803,0.003268,0.003268,0.003268
70,799.335,0.76382,0.77679,1.09497,0.82624,0.81319,0.82075,0.64026,1.10591,1.17219,1.30292,0.003169,0.003169,0.003169
71,809.885,0.77639,0.79618,1.08761,0.85045,0.81868,0.86434,0.66218,1.09703,1.05354,1.30021,0.00307,0.00307,0.00307
72,820.266,0.79129,0.79081,1.11593,0.82859,0.79121,0.83684,0.63759,1.1468,1.05322,1.36435,0.002971,0.002971,0.002971
73,830.773,0.79004,0.80961,1.10804,0.86357,0.83472,0.86111,0.65644,1.11152,1.01286,1.28024,0.002872,0.002872,0.002872
74,841.004,0.75192,0.76073,1.07126,0.84373,0.80098,0.82623,0.63521,1.08432,1.17847,1.33638,0.002773,0.002773,0.002773
75,851.211,0.74264,0.75997,1.08447,0.81905,0.82071,0.84326,0.63761,1.09688,1.11971,1.37449,0.002674,0.002674,0.002674
76,861.887,0.73182,0.76525,1.07171,0.82567,0.82418,0.84071,0.65139,1.06392,1.35841,1.36355,0.002575,0.002575,0.002575
77,872.485,0.73651,0.75587,1.08745,0.85254,0.7967,0.84143,0.64267,1.19472,1.21657,1.43447,0.002476,0.002476,0.002476
78,882.792,0.74762,0.76977,1.08428,0.82457,0.81868,0.84827,0.63826,1.22835,1.16764,1.44344,0.002377,0.002377,0.002377
79,893.114,0.73498,0.75854,1.07451,0.86079,0.82967,0.85177,0.66065,1.04653,1.08201,1.32906,0.002278,0.002278,0.002278
